Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Day type,dept_1 sales,dept_2 sales,dept_3 sales
5/2/10,42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,Regular day,24924.5,50605.27,13740.12
12/2/10,38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,Holiday,46039.49,44682.74,10887.84
19/02/2010,39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,Regular day,41595.55,47928.89,11523.47
26/02/2010,46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,Regular day,19403.54,44292.87,11135.17
5/3/10,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,Regular day,21827.9,48397.98,12275.58
12/3/10,57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,Regular day,21043.39,43751.94,10123.45
19/03/2010,54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,Regular day,22136.64,43615.49,9001.37
26/03/2010,51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,Regular day,26229.21,41892.55,10366.85
2/4/10,62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,Regular day,57258.43,47450.5,11157.08
9/4/10,65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,Regular day,42960.91,46549.73,10179.29
16/04/2010,66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,Regular day,17596.96,45025.02,9226.8
23/04/2010,64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,Regular day,16145.35,44418.11,8868.93
30/04/2010,67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,Regular day,16555.11,45971.3,9337.44
7/5/10,72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,Regular day,17413.94,47903.01,9372.8
14/05/2010,74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,Regular day,18926.74,43675.61,7919.86
21/05/2010,76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,Regular day,14773.04,44319.15,7813.91
28/05/2010,80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,Regular day,15580.43,44619.52,8412.69
4/6/10,80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,Regular day,17558.09,48754.47,8001.41
11/6/10,80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,Regular day,16637.62,47089.54,7742.75
18/06/2010,84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,Regular day,16216.27,44428.71,8201.06
25/06/2010,84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,Regular day,16328.72,45299.92,6591.22
2/7/10,80.91,2.669,NA,NA,NA,NA,NA,211.2235333,7.787,Regular day,16333.14,47077.72,7857.88
9/7/10,80.48,2.642,NA,NA,NA,NA,NA,211.108414,7.787,Regular day,17688.76,46752.12,8112.67
16/07/2010,83.15,2.623,NA,NA,NA,NA,NA,211.1003854,7.787,Regular day,17150.84,44339.2,13751.3
23/07/2010,83.36,2.608,NA,NA,NA,NA,NA,211.2351443,7.787,Regular day,15360.45,44763.33,16930.62
30/07/2010,81.84,2.64,NA,NA,NA,NA,NA,211.3699032,7.787,Regular day,15381.82,45833.77,20915.95
6/8/10,87.16,2.627,NA,NA,NA,NA,NA,211.5046621,7.787,Regular day,17508.41,50031.73,26719.02
13/08/2010,87,2.692,NA,NA,NA,NA,NA,211.6394211,7.787,Regular day,15536.4,45475.69,30640.54
20/08/2010,86.65,2.664,NA,NA,NA,NA,NA,211.6033633,7.787,Regular day,15740.13,49754.17,41101.93
27/08/2010,85.22,2.619,NA,NA,NA,NA,NA,211.5673056,7.787,Regular day,15793.87,49623.53,51159.17
